tid,title,url,image_url,year,action,scifi,drama,romance
tt0120737,The Lord of the Rings: The Fellowship of the Ring  ,http://www.imdb.com/title/tt0120737/,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@..jpg,2001,True,False,False,False
tt0167260,The Lord of the Rings: The Return of the King  ,http://www.imdb.com/title/tt0167260/,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,2003,True,False,False,False
tt0167261,The Lord of the Rings: The Two Towers  ,http://www.imdb.com/title/tt0167261/,https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,2002,True,False,False,False
tt0169102,Lagaan: Once Upon a Time in India  ,http://www.imdb.com/title/tt0169102/,https://m.media-amazon.com/images/M/MV5BNDYxNWUzZmYtOGQxMC00MTdkLTkxOTctYzkyOGIwNWQxZjhmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,2001,False,False,True,False
tt0211915,Amélie  ,http://www.imdb.com/title/tt0211915/,https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg,2001,False,False,False,True
tt0246578,Donnie Darko  ,http://www.imdb.com/title/tt0246578/,https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,2001,False,True,True,False
tt0253474,The Pianist  ,http://www.imdb.com/title/tt0253474/,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,2002,False,False,True,False
tt0266697,Kill Bill: Vol. 1  ,http://www.imdb.com/title/tt0266697/,https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,2003,True,False,False,False
tt0268978,A Beautiful Mind  ,http://www.imdb.com/title/tt0268978/,https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,2001,False,False,True,False
tt0317248,Cidade de Deus  ,http://www.imdb.com/title/tt0317248/,https://m.media-amazon.com/images/M/MV5BNDJiNTEwMjMtOGQ1ZC00OTczLWFjZjctZWQ0MGJjZmFkMjcwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,2002,False,False,True,False
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl  ,http://www.imdb.com/title/tt0325980/,https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,2003,True,False,False,False
tt0338013,Eternal Sunshine of the Spotless Mind  ,http://www.imdb.com/title/tt0338013/,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@..jpg,2004,False,True,True,True
tt0353969,Salinui chueok  ,http://www.imdb.com/title/tt0353969/,https://m.media-amazon.com/images/M/MV5BMzhlNGJhYzUtZTNiMi00MjI0LWFjN2MtOTVlN2IxODVkZWVkXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,2003,False,False,True,False
tt0361748,Inglourious Basterds  ,http://www.imdb.com/title/tt0361748/,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@..jpg,2009,False,False,True,False
tt0363163,Der Untergang  ,http://www.imdb.com/title/tt0363163/,https://m.media-amazon.com/images/M/MV5BZDA2ZjUxZGUtOWU4My00NGU4LTliMGItNWNjMWU1MTM3Nzc3XkEyXkFqcGdeQXVyMzA3Njg4MzY@..jpg,2004,False,False,True,False
tt0364569,Oldeuboi  ,http://www.imdb.com/title/tt0364569/,https://m.media-amazon.com/images/M/MV5BZWFlZWI3MWQtODgzOS00MjVmLTg2ODMtOWE3NWFjOWZkMTY4XkEyXkFqcGdeQXVyMjQ1NjEyNzE@..jpg,2003,False,False,True,False
tt0372784,Batman Begins  ,http://www.imdb.com/title/tt0372784/,https://m.media-amazon.com/images/M/MV5BZmUwNGU2ZmItMmRiNC00MjhlLTg5YWUtODMyNzkxODYzMmZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@..jpg,2005,True,False,True,False
tt0381681,Before Sunset  ,http://www.imdb.com/title/tt0381681/,https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3..jpg,2004,False,False,True,True
tt0395169,Hotel Rwanda  ,http://www.imdb.com/title/tt0395169/,https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,2004,False,False,True,False
tt0401383,Le scaphandre et le papillon  ,http://www.imdb.com/title/tt0401383/,https://m.media-amazon.com/images/M/MV5BMTc3MjkzMDkxN15BMl5BanBnXkFtZTcwODAyMTU1MQ@@..jpg,2007,False,False,True,False
tt0405094,The Lives of Others  ,http://www.imdb.com/title/tt0405094/,https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@..jpg,2006,False,False,True,False
tt0405159,Million Dollar Baby  ,http://www.imdb.com/title/tt0405159/,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@..jpg,2004,False,False,True,False
tt0405508,Rang De Basanti  ,http://www.imdb.com/title/tt0405508/,https://m.media-amazon.com/images/M/MV5BYThmZDA0YmQtMWJhNy00MDQwLTk0Y2YtMDhmZTE5ZjhlNjliXkEyXkFqcGdeQXVyODE5NzE3OTE@..jpg,2006,False,False,True,False
tt0407887,The Departed  ,http://www.imdb.com/title/tt0407887/,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3..jpg,2006,False,False,True,False
