fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,,
titles01/tt0057012,tt0057012,Dr. Seltsam\, oder wie ich lernte\,die Bombe zu lieben (1964),dr seltsam oder wie ich lernte die bombe zu lieben,http://www.imdb.com/title/tt0057012/,8.6,263157,5700,1964,video.movie,13,4,56,432,782,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0086250,tt0086250,Scarface - Toni\,das Narbengesicht (1983),scarface toni das narbengesicht,http://www.imdb.com/title/tt0086250/,8.3,379114,10200,1983,video.movie,0,3,134,985,777,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
titles01/tt0120737,tt0120737,Der Herr der Ringe - Die Gefährten (2001),der herr der ringe die gef hrten,http://www.imdb.com/title/tt0120737/,8.9,871819,10680,2001,video.movie,82,90,220,801,4928,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0167260,tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),der herr der ringe die r ckkehr des k nigs,http://www.imdb.com/title/tt0167260/,8.9,845383,12060,2003,video.movie,122,74,230,1294,3049,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0167261,tt0167261,Der Herr der Ringe - Die zwei Türme (2002),der herr der ringe die zwei t rme,http://www.imdb.com/title/tt0167261/,8.8,760587,10740,2002,video.movie,76,83,164,527,2381,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0169102,tt0169102,Lagaan: Once Upon a Time in India (2001),lagaan once upon a time in india,http://www.imdb.com/title/tt0169102/,8.3,33481,13440,2001,video.movie,44,19,19,9,228,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0198781,tt0198781,Die Monster AG (2001),die monster ag,http://www.imdb.com/title/tt0198781/,8.1,374409,5520,2001,video.movie,14,31,154,104,546,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0211915,tt0211915,Die fabelhafte Welt der Amelie (2001),die fabelhafte welt der amelie,http://www.imdb.com/title/tt0211915/,8.5,380600,7320,2001,video.movie,54,50,57,359,1255,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
titles01/tt0245429,tt0245429,Chihiros Reise ins Zauberland (2001),chihiros reise ins zauberland,http://www.imdb.com/title/tt0245429/,8.6,273502,7500,2001,video.movie,35,19,33,621,788,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0246578,tt0246578,Donnie Darko (2001),donnie darko,http://www.imdb.com/title/tt0246578/,8.1,430315,6780,2001,video.movie,11,12,58,1329,2031,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
titles01/tt0253474,tt0253474,Der Pianist (2002),der pianist,http://www.imdb.com/title/tt0253474/,8.5,331248,9000,2002,video.movie,49,47,74,700,718,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
titles01/tt0266543,tt0266543,Findet Nemo (2003),findet nemo,http://www.imdb.com/title/tt0266543/,8.2,451631,6000,2003,video.movie,37,37,92,2563,804,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0266697,tt0266697,Kill Bill: Vol. 1 (2003),kill bill vol,http://www.imdb.com/title/tt0266697/,8.2,509895,6660,2003,video.movie,16,43,97,3019,2044,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0268978,tt0268978,A Beautiful Mind - Genie und Wahnsinn (2001),a beautiful mind genie und wahnsinn,http://www.imdb.com/title/tt0268978/,8.2,389925,8100,2001,video.movie,28,51,85,1192,1123,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0317248,tt0317248,City of God (2002),city of god,http://www.imdb.com/title/tt0317248/,8.7,386540,7800,2002,video.movie,57,26,27,528,681,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0325980,tt0325980,Fluch der Karibik (2003),fluch der karibik,http://www.imdb.com/title/tt0325980/,8.1,572501,8580,2003,video.movie,28,71,125,429,2072,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0338013,tt0338013,Vergiss mein nicht (2004),vergiss mein nicht,http://www.imdb.com/title/tt0338013/,8.4,475849,6480,2004,video.movie,46,54,52,1324,1448,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,
titles01/tt0338564,tt0338564,Infernal Affairs - Die achte Hölle (2002),infernal affairs die achte h lle,http://www.imdb.com/title/tt0338564/,8.2,68704,6060,2002,video.movie,23,20,15,358,171,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0347149,tt0347149,Das wandelnde Schloss (2004),das wandelnde schloss,http://www.imdb.com/title/tt0347149/,8.2,136207,7140,2004,video.movie,9,14,35,153,298,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0353969,tt0353969,Salinui chueok (2003),salinui chueok,http://www.imdb.com/title/tt0353969/,8.1,39252,7800,2003,video.movie,14,2,5,181,107,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0361748,tt0361748,Inglourious Basterds (2009),inglourious basterds,http://www.imdb.com/title/tt0361748/,8.3,561706,9180,2009,video.movie,76,63,394,7896,1391,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
titles01/tt0363163,tt0363163,Der Untergang (2004),der untergang,http://www.imdb.com/title/tt0363163/,8.3,184234,9360,2004,video.movie,18,17,16,432,532,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0364569,tt0364569,Oldboy (2003),oldboy,http://www.imdb.com/title/tt0364569/,8.4,245394,7200,2003,video.movie,18,11,19,121,742,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
